in,rank,accesses,reads,writes
209447,2214,16,1,15
218941,2215,16,16,0
218944,2216,16,16,0
218951,2217,16,16,0
218952,2218,16,16,0
218953,2219,16,16,0
218968,2220,16,16,0
218969,2221,16,16,0
218970,2222,16,16,0
218972,2223,16,16,0
220719,2224,16,14,2
227344,2225,16,16,0
227345,2226,16,16,0
213463,2227,16,5,11
216392,2228,16,3,13
121968,2229,16,16,0
121917,2230,16,16,0
213683,2231,16,2,14
214473,2232,16,4,12
51682,2233,16,16,0
217741,2234,16,4,12
217756,2235,16,3,13
219864,2236,16,2,14
219879,2237,16,4,12
217933,2238,16,6,10
49638,2239,15,15,0
264988,2240,15,15,0
156066,2241,15,15,0
156159,2242,15,15,0
201614,2243,15,15,0
201615,2244,15,15,0
201616,2245,15,15,0
201617,2246,15,15,0
201618,2247,15,15,0
201619,2248,15,15,0
201620,2249,15,15,0
201621,2250,15,15,0
220428,2251,15,14,1
153147,2252,15,15,0
131446,2253,15,15,0
152040,2254,15,4,11
204086,2255,15,4,11
204437,2256,15,4,11
204438,2257,15,4,11
204441,2258,15,3,12
204472,2259,15,5,10
204493,2260,15,5,10
155898,2261,15,15,0
201586,2262,15,15,0
297267,2263,15,15,0
221116,2264,15,15,0
221117,2265,15,15,0
221123,2266,15,15,0
218243,2267,15,15,0
209448,2268,15,3,12
219798,2269,15,15,0
219799,2270,15,15,0
219800,2271,15,15,0
220606,2272,15,14,1
218914,2273,15,15,0
220510,2274,15,14,1
297489,2275,15,14,1
227324,2276,15,15,0
227325,2277,15,15,0
122051,2278,15,15,0
213673,2279,15,3,12
214653,2280,15,3,12
214893,2281,15,1,14
226852,2282,15,11,4
217497,2283,15,3,12
217742,2284,15,2,13
217755,2285,15,2,13
152196,2286,14,7,7
155808,2287,14,14,0
153428,2288,14,14,0
114173,2289,14,2,12
222237,2290,14,14,0
152505,2291,14,14,0
228479,2292,14,14,0
152146,2293,14,14,0
208644,2294,14,3,11
153354,2295,14,14,0
220625,2296,14,14,0
220619,2297,14,14,0
152009,2298,14,6,8
220531,2299,14,13,1
152137,2300,14,14,0
204436,2301,14,3,11
153002,2302,14,14,0
220701,2303,14,14,0
204486,2304,14,4,10
247895,2305,14,13,1
221113,2306,14,14,0
49794,2307,14,14,0
204529,2308,14,4,10
203764,2309,14,14,0
220624,2310,14,13,1
222746,2311,14,14,0
220637,2312,14,13,1
218224,2313,14,14,0
210182,2314,14,4,10
210201,2315,14,4,10
227330,2316,14,14,0
227331,2317,14,14,0
8,2318,14,14,0
227308,2319,14,14,0
227309,2320,14,14,0
122101,2321,14,14,0
122054,2322,14,14,0
122091,2323,14,14,0
226734,2324,14,14,0
214443,2325,14,3,11
214650,2326,14,3,11
214651,2327,14,3,11
214660,2328,14,3,11
216638,2329,14,4,10
227768,2330,14,14,0
214938,2331,14,2,12
214964,2332,14,2,12
217450,2333,14,3,11
218873,2334,14,4,10
218875,2335,14,3,11
217715,2336,14,5,9
217784,2337,14,4,10
252997,2338,13,13,0
203929,2339,13,13,0
203930,2340,13,13,0
203931,2341,13,13,0
203932,2342,13,13,0
203933,2343,13,13,0
203934,2344,13,13,0
203935,2345,13,13,0
203936,2346,13,13,0
203937,2347,13,13,0
203938,2348,13,13,0
203939,2349,13,13,0
203940,2350,13,13,0
240540,2351,13,13,0
202296,2352,13,6,7
209542,2353,13,13,0
209543,2354,13,13,0
209544,2355,13,13,0
209545,2356,13,13,0
209546,2357,13,13,0
209547,2358,13,13,0
209548,2359,13,13,0
209549,2360,13,13,0
209550,2361,13,13,0
209551,2362,13,13,0
209552,2363,13,13,0
209553,2364,13,13,0
209554,2365,13,13,0
218227,2366,13,13,0
30760,2367,13,11,2
152231,2368,13,13,0
152243,2369,13,13,0
201655,2370,13,13,0
195374,2371,13,2,11
208690,2372,13,10,3
247975,2373,13,13,0
220631,2374,13,13,0
209287,2375,13,3,10
78906,2376,13,13,0
78913,2377,13,13,0
152996,2378,13,13,0
78850,2379,13,13,0
78888,2380,13,13,0
204541,2381,13,3,10
204545,2382,13,2,11
204546,2383,13,2,11
218915,2384,13,13,0
215860,2385,13,13,0
220587,2386,13,13,0
210181,2387,13,2,11
122038,2388,13,13,0
122039,2389,13,13,0
122052,2390,13,13,0
227277,2391,13,13,0
212221,2392,13,3,10
213666,2393,13,2,11
246929,2394,13,13,0
214444,2395,13,3,10
214884,2396,13,2,11
214900,2397,13,3,10
214939,2398,13,2,11
217421,2399,13,2,11
217434,2400,13,3,10
219696,2401,13,1,12
217783,2402,13,2,11
220381,2403,13,2,11
216745,2404,12,12,0
218283,2405,12,12,0
240579,2406,12,12,0
240583,2407,12,12,0
149811,2408,12,12,0
149812,2409,12,12,0
149813,2410,12,12,0
208465,2411,12,2,10
208476,2412,12,2,10
202726,2413,12,3,9
202730,2414,12,2,10
216751,2415,12,12,0
281349,2416,12,12,0
152236,2417,12,12,0
131448,2418,12,12,0
208636,2419,12,2,10
208641,2420,12,2,10
208642,2421,12,2,10
208649,2422,12,3,9
47638,2423,12,12,0
204054,2424,12,2,10
47640,2425,12,12,0
47641,2426,12,12,0
47642,2427,12,12,0
208677,2428,12,2,10
208684,2429,12,3,9
204416,2430,12,3,9
218286,2431,12,12,0
153254,2432,12,12,0
152553,2433,12,12,0
220640,2434,12,12,0
297283,2435,12,12,0
108311,2436,12,12,0
208702,2437,12,2,10
208703,2438,12,2,10
204432,2439,12,2,10
234054,2440,12,12,0
212633,2441,12,12,0
218496,2442,12,12,0
220434,2443,12,12,0
204489,2444,12,2,10
95735,2445,12,12,0
95787,2446,12,12,0
95742,2447,12,12,0
218488,2448,12,12,0
209377,2449,12,2,10
214814,2450,12,12,0
78849,2451,12,12,0
297409,2452,12,11,1
201610,2453,12,12,0
220666,2454,12,12,0
220613,2455,12,11,1
210185,2456,12,2,10
212124,2457,12,3,9
212132,2458,12,2,10
212137,2459,12,3,9
212138,2460,12,3,9
218275,2461,12,12,0
227604,2462,12,12,0
227339,2463,12,12,0
227340,2464,12,12,0
227278,2465,12,12,0
213468,2466,12,2,10
213475,2467,12,2,10
213476,2468,12,2,10
212664,2469,12,2,10
213498,2470,12,3,9
213499,2471,12,3,9
213504,2472,12,2,10
216291,2473,12,2,10
213669,2474,12,3,9
213671,2475,12,2,10
216488,2476,12,2,10
216489,2477,12,2,10
226853,2478,12,8,4
121635,2479,12,12,0
121663,2480,12,12,0
216505,2481,12,3,9
214462,2482,12,3,9
214463,2483,12,3,9
214470,2484,12,3,9
214649,2485,12,2,10
216593,2486,12,3,9
214861,2487,12,2,10
214866,2488,12,3,9
214867,2489,12,3,9
214869,2490,12,2,10
216644,2491,12,1,11
216637,2492,12,3,9
214894,2493,12,2,10
214895,2494,12,2,10
214898,2495,12,2,10
214899,2496,12,2,10
217384,2497,12,2,10
226851,2498,12,12,0
152036,2499,12,6,6
214902,2500,12,2,10
214910,2501,12,2,10
217400,2502,12,2,10
217401,2503,12,2,10
217413,2504,12,3,9
214928,2505,12,2,10
214933,2506,12,3,9
214941,2507,12,1,11
217422,2508,12,3,9
214950,2509,12,2,10
217439,2510,12,2,10
217530,2511,12,3,9
219674,2512,12,3,9
217707,2513,12,2,10
217749,2514,12,3,9
219865,2515,12,1,11
219915,2516,12,3,9
217831,2517,12,1,11
217852,2518,12,3,9
217862,2519,12,2,10
220382,2520,12,2,10
221092,2521,12,3,9
218129,2522,12,2,10
262177,2523,11,11,0
208477,2524,11,2,9
209398,2525,11,11,0
209399,2526,11,11,0
209400,2527,11,11,0
152033,2528,11,2,9
218288,2529,11,11,0
215301,2530,11,6,5
152229,2531,11,11,0
152679,2532,11,11,0
208671,2533,11,1,10
208673,2534,11,2,9
208679,2535,11,2,9
220423,2536,11,11,0
206999,2537,11,3,8
204087,2538,11,2,9
204089,2539,11,1,10
204094,2540,11,2,9
204099,2541,11,2,9
204440,2542,11,1,10
204442,2543,11,1,10
208739,2544,11,3,8
220778,2545,11,11,0
204474,2546,11,2,9
204479,2547,11,2,9
150735,2548,11,11,0
150736,2549,11,11,0
209278,2550,11,1,10
209282,2551,11,2,9
204483,2552,11,3,8
209327,2553,11,3,8
297276,2554,11,11,0
297383,2555,11,9,2
204510,2556,11,3,8
204514,2557,11,3,8
78904,2558,11,11,0
209267,2559,11,11,0
209268,2560,11,11,0
209269,2561,11,11,0
209270,2562,11,11,0
209271,2563,11,11,0
209272,2564,11,11,0
209273,2565,11,11,0
209274,2566,11,11,0
209275,2567,11,11,0
50005,2568,11,11,0
50006,2569,11,11,0
50007,2570,11,11,0
50008,2571,11,11,0
50009,2572,11,11,0
209433,2573,11,3,8
209435,2574,11,3,8
204544,2575,11,1,10
204547,2576,11,1,10
222748,2577,11,11,0
220478,2578,11,11,0
152072,2579,11,0,11
220707,2580,11,11,0
209677,2581,11,3,8
209679,2582,11,3,8
210189,2583,11,2,9
213449,2584,11,3,8
213458,2585,11,3,8
212666,2586,11,2,9
227416,2587,11,11,0
227417,2588,11,11,0
213551,2589,11,3,8
122041,2590,11,11,0
122044,2591,11,11,0
122089,2592,11,11,0
216386,2593,11,3,8
84295,2594,11,11,0
216574,2595,11,3,8
214654,2596,11,1,10
214878,2597,11,2,9
227884,2598,11,11,0
217387,2599,11,2,9
217395,2600,11,2,9
214940,2601,11,1,10
214949,2602,11,1,10
214973,2603,11,2,9
214975,2604,11,1,10
217503,2605,11,1,10
217717,2606,11,5,6
219706,2607,11,2,9
125304,2608,11,3,8
217737,2609,11,3,8
219866,2610,11,3,8
219878,2611,11,2,9
219886,2612,11,2,9
217793,2613,11,2,9
219913,2614,11,2,9
217865,2615,11,2,9
220379,2616,11,2,9
220380,2617,11,2,9
49639,2618,10,10,0
49617,2619,10,10,0
49618,2620,10,10,0
49619,2621,10,10,0
49620,2622,10,10,0
49621,2623,10,10,0
49622,2624,10,10,0
49623,2625,10,10,0
49624,2626,10,10,0
49625,2627,10,10,0
49626,2628,10,10,0
49627,2629,10,10,0
49628,2630,10,10,0
49629,2631,10,10,0
49630,2632,10,10,0
49631,2633,10,10,0
49632,2634,10,10,0
203952,2635,10,10,0
203953,2636,10,10,0
203954,2637,10,10,0
203955,2638,10,10,0
203956,2639,10,10,0
203957,2640,10,10,0
203958,2641,10,10,0
203959,2642,10,10,0
203960,2643,10,10,0
203961,2644,10,10,0
203962,2645,10,10,0
203963,2646,10,10,0
203964,2647,10,10,0
203965,2648,10,10,0
203966,2649,10,10,0
203967,2650,10,10,0
203970,2651,10,10,0
49607,2652,10,10,0
49608,2653,10,10,0
49609,2654,10,10,0
49610,2655,10,10,0
49611,2656,10,10,0
49612,2657,10,10,0
49613,2658,10,10,0
49614,2659,10,10,0
49615,2660,10,10,0
49595,2661,10,10,0
49596,2662,10,10,0
49597,2663,10,10,0
49598,2664,10,10,0
49599,2665,10,10,0
49600,2666,10,10,0
49601,2667,10,10,0
49602,2668,10,10,0
49603,2669,10,10,0
203951,2670,10,10,0
49636,2671,10,10,0
49606,2672,10,10,0
49590,2673,10,10,0
49591,2674,10,10,0
49604,2675,10,10,0
262176,2676,10,10,0
262172,2677,10,10,0
246733,2678,10,10,0
218253,2679,10,10,0
143102,2680,10,10,0
147486,2681,10,5,5
114183,2682,10,10,0
114184,2683,10,10,0
114294,2684,10,10,0
114300,2685,10,10,0
114298,2686,10,10,0
114307,2687,10,10,0
114266,2688,10,10,0
114268,2689,10,10,0
114292,2690,10,10,0
101441,2691,10,10,0
101442,2692,10,10,0
101438,2693,10,10,0
101439,2694,10,10,0
101447,2695,10,10,0
101448,2696,10,10,0
101444,2697,10,10,0
101445,2698,10,10,0
101453,2699,10,10,0
101454,2700,10,10,0
101450,2701,10,10,0
101451,2702,10,10,0
101459,2703,10,10,0
101460,2704,10,10,0
101456,2705,10,10,0
101457,2706,10,10,0
101465,2707,10,10,0
101466,2708,10,10,0
101462,2709,10,10,0
101463,2710,10,10,0
149983,2711,10,10,0
208463,2712,10,2,8
208466,2713,10,1,9
208472,2714,10,2,8
152250,2715,10,10,0
202733,2716,10,1,9
202737,2717,10,1,9
202740,2718,10,1,9
202743,2719,10,2,8
202747,2720,10,2,8
152149,2721,10,10,0
26884,2722,10,10,0
220716,2723,10,9,1
208370,2724,10,10,0
151611,2725,10,5,5
208632,2726,10,2,8
208634,2727,10,1,9
208635,2728,10,1,9
208637,2729,10,1,9
208639,2730,10,2,8
208640,2731,10,2,8
208648,2732,10,2,8
204052,2733,10,1,9
204053,2734,10,1,9
204055,2735,10,1,9
204058,2736,10,2,8
204059,2737,10,2,8
204060,2738,10,1,9
204061,2739,10,1,9
208666,2740,10,2,8
208676,2741,10,1,9
220521,2742,10,9,1
204093,2743,10,0,10
204098,2744,10,1,9
150732,2745,10,10,0
150733,2746,10,10,0
218287,2747,10,10,0
218233,2748,10,10,0
208699,2749,10,2,8
208700,2750,10,2,8
208704,2751,10,1,9
208705,2752,10,2,8
208723,2753,10,2,8
208727,2754,10,2,8
199854,2755,10,10,0
204429,2756,10,2,8
152138,2757,10,10,0
220498,2758,10,10,0
218254,2759,10,10,0
204461,2760,10,2,8
297289,2761,10,10,0
150737,2762,10,10,0
152109,2763,10,7,3
209279,2764,10,1,9
209281,2765,10,2,8
209325,2766,10,2,8
203377,2767,10,10,0
203378,2768,10,10,0
204487,2769,10,2,8
204490,2770,10,1,9
97234,2771,10,10,0
97379,2772,10,10,0
97256,2773,10,10,0
153220,2774,10,10,0
209380,2775,10,2,8
209381,2776,10,2,8
209382,2777,10,2,8
78762,2778,10,10,0
78764,2779,10,10,0
204525,2780,10,1,9
204526,2781,10,1,9
204532,2782,10,1,9
204533,2783,10,1,9
204534,2784,10,1,9
220673,2785,10,10,0
209444,2786,10,1,9
209445,2787,10,1,9
209452,2788,10,1,9
209453,2789,10,1,9
209462,2790,10,2,8
204555,2791,10,1,9
204559,2792,10,2,8
200927,2793,10,10,0
209196,2794,10,10,0
209197,2795,10,10,0
209198,2796,10,10,0
209199,2797,10,10,0
209200,2798,10,10,0
209201,2799,10,10,0
209202,2800,10,10,0
209203,2801,10,10,0
209204,2802,10,10,0
209205,2803,10,10,0
209206,2804,10,10,0
209207,2805,10,10,0
209208,2806,10,10,0
208689,2807,10,10,0
203941,2808,10,10,0
220557,2809,10,8,2
77211,2810,10,10,0
204562,2811,10,2,8
220663,2812,10,10,0
210186,2813,10,1,9
210192,2814,10,2,8
212134,2815,10,1,9
212135,2816,10,1,9
212136,2817,10,1,9
212148,2818,10,1,9
212155,2819,10,2,8
210205,2820,10,1,9
210208,2821,10,2,8
212172,2822,10,2,8
212175,2823,10,1,9
212178,2824,10,1,9
212180,2825,10,2,8
212181,2826,10,2,8
212182,2827,10,1,9
212185,2828,10,1,9
152073,2829,10,0,10
240665,2830,10,10,0
240666,2831,10,10,0
240667,2832,10,10,0
240668,2833,10,10,0
240669,2834,10,10,0
213466,2835,10,1,9
213471,2836,10,2,8
213479,2837,10,2,8
213481,2838,10,2,8
212225,2839,10,2,8
212226,2840,10,2,8
212227,2841,10,2,8
212232,2842,10,1,9
216276,2843,10,2,8
216281,2844,10,3,7
227326,2845,10,10,0
227327,2846,10,10,0
213511,2847,10,1,9
213555,2848,10,2,8
216289,2849,10,1,9
216294,2850,10,2,8
216319,2851,10,1,9
216380,2852,10,2,8
213668,2853,10,2,8
213670,2854,10,1,9
195376,2855,10,2,8
216395,2856,10,1,9
216397,2857,10,1,9
216487,2858,10,2,8
213690,2859,10,2,8
213692,2860,10,1,9
213693,2861,10,1,9
213694,2862,10,1,9
213699,2863,10,1,9
213700,2864,10,1,9
213702,2865,10,1,9
216506,2866,10,2,8
216524,2867,10,1,9
216550,2868,10,1,9
216553,2869,10,2,8
216555,2870,10,1,9
216557,2871,10,1,9
216561,2872,10,2,8
218263,2873,10,10,0
214465,2874,10,1,9
214471,2875,10,2,8
216576,2876,10,2,8
216581,2877,10,1,9
216588,2878,10,1,9
214659,2879,10,2,8
216602,2880,10,2,8
216607,2881,10,1,9
216608,2882,10,1,9
216612,2883,10,2,8
216614,2884,10,1,9
216615,2885,10,1,9
216616,2886,10,1,9
216621,2887,10,2,8
214868,2888,10,1,9
216630,2889,10,2,8
216634,2890,10,1,9
216640,2891,10,1,9
216641,2892,10,1,9
216651,2893,10,2,8
227902,2894,10,10,0
214880,2895,10,2,8
214882,2896,10,1,9
214896,2897,10,1,9
217373,2898,10,2,8
217376,2899,10,1,9
217379,2900,10,1,9
217383,2901,10,1,9
217388,2902,10,2,8
214901,2903,10,1,9
214903,2904,10,1,9
214906,2905,10,2,8
214914,2906,10,2,8
217396,2907,10,2,8
217399,2908,10,1,9
217403,2909,10,2,8
217404,2910,10,2,8
214915,2911,10,3,7
214930,2912,10,1,9
214934,2913,10,2,8
217418,2914,10,1,9
214954,2915,10,2,8
214956,2916,10,1,9
217435,2917,10,2,8
217437,2918,10,1,9
217451,2919,10,1,9
218871,2920,10,0,10
218874,2921,10,2,8
218876,2922,10,1,9
217471,2923,10,2,8
217473,2924,10,1,9
217475,2925,10,2,8
217501,2926,10,1,9
217704,2927,10,1,9
217711,2928,10,1,9
217714,2929,10,1,9
200527,2930,10,3,7
200539,2931,10,3,7
217747,2932,10,1,9
217748,2933,10,1,9
217754,2934,10,1,9
219873,2935,10,2,8
219874,2936,10,1,9
219875,2937,10,1,9
219877,2938,10,1,9
217781,2939,10,1,9
217782,2940,10,1,9
217791,2941,10,1,9
219906,2942,10,1,9
219910,2943,10,1,9
219911,2944,10,1,9
219912,2945,10,1,9
219917,2946,10,2,8
219919,2947,10,1,9
220289,2948,10,2,8
217804,2949,10,2,8
217829,2950,10,1,9
217832,2951,10,1,9
217835,2952,10,1,9
220298,2953,10,2,8
220303,2954,10,1,9
220312,2955,10,2,8
217851,2956,10,2,8
217854,2957,10,1,9
217855,2958,10,1,9
217860,2959,10,2,8
217861,2960,10,1,9
220383,2961,10,1,9
221094,2962,10,1,9
221095,2963,10,1,9
221096,2964,10,1,9
218130,2965,10,1,9
218135,2966,10,2,8
218136,2967,10,1,9
218137,2968,10,1,9
215323,2969,9,4,5
262200,2970,9,9,0
247247,2971,9,9,0
247212,2972,9,9,0
143103,2973,9,9,0
153010,2974,9,7,2
220776,2975,9,9,0
202295,2976,9,4,5
216775,2977,9,9,0
203801,2978,9,9,0
203783,2979,9,9,0
203784,2980,9,9,0
203785,2981,9,9,0
203786,2982,9,9,0
203787,2983,9,9,0
203788,2984,9,9,0
203789,2985,9,9,0
203790,2986,9,9,0
203791,2987,9,9,0
203792,2988,9,9,0
203914,2989,9,9,0
203913,2990,9,9,0
203917,2991,9,9,0
203918,2992,9,9,0
203919,2993,9,9,0
203920,2994,9,9,0
203739,2995,9,9,0
203704,2996,9,9,0
203705,2997,9,9,0
203706,2998,9,9,0
203707,2999,9,9,0
203708,3000,9,9,0
203709,3001,9,9,0
203710,3002,9,9,0
203711,3003,9,9,0
203712,3004,9,9,0
203713,3005,9,9,0
203714,3006,9,9,0
203715,3007,9,9,0
203716,3008,9,9,0
203717,3009,9,9,0
203718,3010,9,9,0
203719,3011,9,9,0
203721,3012,9,9,0
203722,3013,9,9,0
203723,3014,9,9,0
203724,3015,9,9,0
203725,3016,9,9,0
203726,3017,9,9,0
203727,3018,9,9,0
203728,3019,9,9,0
203729,3020,9,9,0
203730,3021,9,9,0
203731,3022,9,9,0
203732,3023,9,9,0
203733,3024,9,9,0
203734,3025,9,9,0
203735,3026,9,9,0
203736,3027,9,9,0
203737,3028,9,9,0
202741,3029,9,1,8
152432,3030,9,1,8
84771,3031,9,2,7
152043,3032,9,2,7
208628,3033,9,2,7
208645,3034,9,1,8
208646,3035,9,1,8
220468,3036,9,9,0
204051,3037,9,2,7
204056,3038,9,1,8
204064,3039,9,1,8
297330,3040,9,8,1
204073,3041,9,2,7
204090,3042,9,0,9
204091,3043,9,0,9
204095,3044,9,1,8
204096,3045,9,1,8
204097,3046,9,0,9
204414,3047,9,1,8
204415,3048,9,1,8
150728,3049,9,9,0
150729,3050,9,9,0
150730,3051,9,9,0
150731,3052,9,9,0
197819,3053,9,9,0
208686,3054,9,2,7
208698,3055,9,2,7
200813,3056,9,9,0
208722,3057,9,1,8
204444,3058,9,1,8
199841,3059,9,9,0
209517,3060,9,9,0
208743,3061,9,2,7
204473,3062,9,1,8
204475,3063,9,1,8
204476,3064,9,1,8
220555,3065,9,9,0
209286,3066,9,1,8
297159,3067,9,8,1
215772,3068,9,9,0
152650,3069,9,9,0
73763,3070,9,9,0
115792,3071,9,9,0
75530,3072,9,9,0
204513,3073,9,2,7
204521,3074,9,1,8
204522,3075,9,1,8
78903,3076,9,9,0
209386,3077,9,1,8
209387,3078,9,1,8
215867,3079,9,9,0
244816,3080,9,9,0
209434,3081,9,2,7
204542,3082,9,1,8
204543,3083,9,0,9
209449,3084,9,2,7
297282,3085,9,9,0
204554,3086,9,2,7
220725,3087,9,9,0
220607,3088,9,9,0
220695,3089,9,9,0
212119,3090,9,2,7
212121,3091,9,2,7
209678,3092,9,2,7
210188,3093,9,1,8
212151,3094,9,1,8
212156,3095,9,2,7
78864,3096,9,9,0
212161,3097,9,2,7
210214,3098,9,0,9
213456,3099,9,2,7
213457,3100,9,2,7
213459,3101,9,2,7
227279,3102,9,9,0
227391,3103,9,9,0
227392,3104,9,9,0
229500,3105,9,9,0
212667,3106,9,1,8
152110,3107,9,5,4
216272,3108,9,1,8
213494,3109,9,2,7
213495,3110,9,2,7
216282,3111,9,2,7
216284,3112,9,2,7
213552,3113,9,1,8
213561,3114,9,1,8
152074,3115,9,0,9
216383,3116,9,2,7
213676,3117,9,1,8
216493,3118,9,1,8
216497,3119,9,2,7
36840,3120,9,9,0
101475,3121,9,9,0
226741,3122,9,9,0
121544,3123,9,9,0
121666,3124,9,9,0
213685,3125,9,2,7
213695,3126,9,1,8
216499,3127,9,2,7
216558,3128,9,1,8
214468,3129,9,1,8
214652,3130,9,0,9
214655,3131,9,0,9
214656,3132,9,0,9
216582,3133,9,1,8
216590,3134,9,1,8
216598,3135,9,2,7
216617,3136,9,1,8
216618,3137,9,1,8
214674,3138,9,2,7
214864,3139,9,1,8
216636,3140,9,1,8
216649,3141,9,1,8
216650,3142,9,1,8
214897,3143,9,0,9
217378,3144,9,1,8
217386,3145,9,1,8
214904,3146,9,1,8
214912,3147,9,1,8
214913,3148,9,1,8
217414,3149,9,1,8
217415,3150,9,1,8
214931,3151,9,1,8
217433,3152,9,2,7
234073,3153,9,9,0
214952,3154,9,1,8
214959,3155,9,1,8
214960,3156,9,1,8
217455,3157,9,1,8
214970,3158,9,2,7
214974,3159,9,1,8
217500,3160,9,2,7
219666,3161,9,1,8
219676,3162,9,2,7
219684,3163,9,2,7
219710,3164,9,0,9
219714,3165,9,1,8
217772,3166,9,2,7
219882,3167,9,2,7
219887,3168,9,1,8
217792,3169,9,1,8
219897,3170,9,2,7
217802,3171,9,2,7
217834,3172,9,2,7
217839,3173,9,1,8
219914,3174,9,2,7
220291,3175,9,2,7
220295,3176,9,2,7
220371,3177,9,1,8
217858,3178,9,1,8
217866,3179,9,1,8
217871,3180,9,2,7
249142,3181,9,9,0
249143,3182,9,9,0
153687,3183,9,3,6
217898,3184,9,6,3
153764,3185,9,3,6
220385,3186,9,1,8
220742,3187,9,2,7
153766,3188,9,1,8
209584,3189,8,8,0
158370,3190,8,0,8
158371,3191,8,0,8
247211,3192,8,8,0
152022,3193,8,4,4
40226,3194,8,8,0
40227,3195,8,8,0
114122,3196,8,6,2
114178,3197,8,8,0
114179,3198,8,8,0
114180,3199,8,8,0
207126,3200,8,1,7
208464,3201,8,0,8
208470,3202,8,0,8
208471,3203,8,1,7
208474,3204,8,0,8
208475,3205,8,0,8
220775,3206,8,8,0
202728,3207,8,1,7
202729,3208,8,0,8
202731,3209,8,0,8
202732,3210,8,0,8
202735,3211,8,1,7
202736,3212,8,1,7
281350,3213,8,8,0
50045,3214,8,8,0
50046,3215,8,8,0
50042,3216,8,8,0
50043,3217,8,8,0
50044,3218,8,8,0
50040,3219,8,8,0
220584,3220,8,8,0
218258,3221,8,8,0
207079,3222,8,1,7
208631,3223,8,1,7
208633,3224,8,0,8
208650,3225,8,1,7
204062,3226,8,1,7
204063,3227,8,1,7
204066,3228,8,1,7
204067,3229,8,1,7
152218,3230,8,8,0
209925,3231,8,8,0
209926,3232,8,8,0
209901,3233,8,8,0
209902,3234,8,8,0
209903,3235,8,8,0
209904,3236,8,8,0
209905,3237,8,8,0
209906,3238,8,8,0
209907,3239,8,8,0
209908,3240,8,8,0
209909,3241,8,8,0
209910,3242,8,8,0
209911,3243,8,8,0
209912,3244,8,8,0
209913,3245,8,8,0
209914,3246,8,8,0
209915,3247,8,8,0
209916,3248,8,8,0
209892,3249,8,8,0
209893,3250,8,8,0
209894,3251,8,8,0
209895,3252,8,8,0
209924,3253,8,8,0
218247,3254,8,8,0
208667,3255,8,0,8
208668,3256,8,0,8
208669,3257,8,0,8
208670,3258,8,0,8
208672,3259,8,1,7
208674,3260,8,1,7
208675,3261,8,0,8
208680,3262,8,1,7
208682,3263,8,1,7
208683,3264,8,1,7
45719,3265,8,8,0
45717,3266,8,8,0
204101,3267,8,1,7
204102,3268,8,1,7
204412,3269,8,1,7
195373,3270,8,2,6
208511,3271,8,8,0
204421,3272,8,1,7
208853,3273,8,8,0
208850,3274,8,8,0
208701,3275,8,1,7
208724,3276,8,1,7
208725,3277,8,1,7
208726,3278,8,1,7
204430,3279,8,1,7
204431,3280,8,1,7
204433,3281,8,0,8
204434,3282,8,0,8
204443,3283,8,0,8
204445,3284,8,1,7
199843,3285,8,8,0
218285,3286,8,8,0
247328,3287,8,8,0
220543,3288,8,8,0
218499,3289,8,8,0
204459,3290,8,2,6
204460,3291,8,1,7
204464,3292,8,1,7
208741,3293,8,2,6
208755,3294,8,1,7
208756,3295,8,1,7
208757,3296,8,1,7
208758,3297,8,0,8
208760,3298,8,1,7
209158,3299,8,1,7
209280,3300,8,1,7
209284,3301,8,0,8
209285,3302,8,0,8
209288,3303,8,1,7
209323,3304,8,1,7
209324,3305,8,1,7
220539,3306,8,8,0
204488,3307,8,1,7
204491,3308,8,0,8
208761,3309,8,2,6
204505,3310,8,1,7
213824,3311,8,8,0
213831,3312,8,8,0
95744,3313,8,8,0
218484,3314,8,8,0
297391,3315,8,6,2
204516,3316,8,1,7
209340,3317,8,1,7
209373,3318,8,1,7
209375,3319,8,0,8
209376,3320,8,0,8
209378,3321,8,0,8
209379,3322,8,0,8
209383,3323,8,0,8
209384,3324,8,0,8
209385,3325,8,0,8
209389,3326,8,1,7
209390,3327,8,1,7
204523,3328,8,1,7
204524,3329,8,0,8
204528,3330,8,0,8
204530,3331,8,1,7
204531,3332,8,1,7
204537,3333,8,1,7
204539,3334,8,1,7
244824,3335,8,8,0
209440,3336,8,1,7
209441,3337,8,1,7
209442,3338,8,0,8
209443,3339,8,0,8
209454,3340,8,0,8
209459,3341,8,1,7
209460,3342,8,1,7
204549,3343,8,1,7
204550,3344,8,1,7
204551,3345,8,0,8
204556,3346,8,1,7
263867,3347,8,8,0
215670,3348,8,8,0
200836,3349,8,8,0
50052,3350,8,8,0
205860,3351,8,8,0
206776,3352,8,8,0
206777,3353,8,8,0
206778,3354,8,8,0
206779,3355,8,8,0
206780,3356,8,8,0
206781,3357,8,8,0
206782,3358,8,8,0
206783,3359,8,8,0
206784,3360,8,8,0
206785,3361,8,8,0
206786,3362,8,8,0
206787,3363,8,8,0
153539,3364,8,4,4
153537,3365,8,4,4
209676,3366,8,2,6
220633,3367,8,8,0
210175,3368,8,1,7
210177,3369,8,0,8
210178,3370,8,0,8
210179,3371,8,0,8
210183,3372,8,1,7
210187,3373,8,0,8
212123,3374,8,1,7
212129,3375,8,2,6
212133,3376,8,0,8
212149,3377,8,0,8
212150,3378,8,0,8
