in,per_rank,accesses,reads,writes
49628,27,10,10,0
49629,27,10,10,0
49630,27,10,10,0
49631,27,10,10,0
49632,27,10,10,0
203952,27,10,10,0
203953,27,10,10,0
203954,27,10,10,0
203955,27,10,10,0
203956,27,10,10,0
203957,27,10,10,0
203958,27,10,10,0
203959,27,10,10,0
203960,27,10,10,0
203961,27,10,10,0
203962,27,10,10,0
203963,27,10,10,0
203964,27,10,10,0
203965,27,10,10,0
203966,27,10,10,0
203967,27,10,10,0
203970,27,10,10,0
49607,27,10,10,0
49608,27,10,10,0
49609,27,10,10,0
49610,27,10,10,0
49611,27,10,10,0
49612,27,10,10,0
49613,27,10,10,0
49614,27,10,10,0
49615,27,10,10,0
49595,27,10,10,0
49596,27,10,10,0
49597,27,10,10,0
49598,27,10,10,0
49599,27,10,10,0
49600,27,10,10,0
49601,27,10,10,0
49602,27,10,10,0
49603,27,10,10,0
203951,27,10,10,0
49636,27,10,10,0
49606,27,10,10,0
49590,27,10,10,0
49591,27,10,10,0
49604,27,10,10,0
262176,27,10,10,0
262172,27,10,10,0
246733,27,10,10,0
218253,27,10,10,0
143102,27,10,10,0
147486,27,10,5,5
114183,27,10,10,0
114184,27,10,10,0
114294,27,10,10,0
114300,27,10,10,0
114298,27,10,10,0
114307,27,10,10,0
114266,27,10,10,0
114268,27,10,10,0
114292,27,10,10,0
101441,27,10,10,0
101442,27,10,10,0
101438,27,10,10,0
101439,27,10,10,0
101447,27,10,10,0
101448,27,10,10,0
101444,27,10,10,0
101445,27,10,10,0
101453,27,10,10,0
101454,28,10,10,0
101450,28,10,10,0
101451,28,10,10,0
101459,28,10,10,0
101460,28,10,10,0
101456,28,10,10,0
101457,28,10,10,0
101465,28,10,10,0
101466,28,10,10,0
101462,28,10,10,0
101463,28,10,10,0
149983,28,10,10,0
208463,28,10,2,8
208466,28,10,1,9
208472,28,10,2,8
152250,28,10,10,0
202733,28,10,1,9
202737,28,10,1,9
202740,28,10,1,9
202743,28,10,2,8
202747,28,10,2,8
152149,28,10,10,0
26884,28,10,10,0
220716,28,10,9,1
208370,28,10,10,0
151611,28,10,5,5
208632,28,10,2,8
208634,28,10,1,9
208635,28,10,1,9
208637,28,10,1,9
208639,28,10,2,8
208640,28,10,2,8
208648,28,10,2,8
204052,28,10,1,9
204053,28,10,1,9
204055,28,10,1,9
204058,28,10,2,8
204059,28,10,2,8
204060,28,10,1,9
204061,28,10,1,9
208666,28,10,2,8
208676,28,10,1,9
220521,28,10,9,1
204093,28,10,0,10
204098,28,10,1,9
150732,28,10,10,0
150733,28,10,10,0
218287,28,10,10,0
218233,28,10,10,0
208699,28,10,2,8
208700,28,10,2,8
208704,28,10,1,9
208705,28,10,2,8
208723,28,10,2,8
208727,28,10,2,8
199854,28,10,10,0
204429,28,10,2,8
152138,28,10,10,0
220498,28,10,10,0
218254,28,10,10,0
204461,28,10,2,8
297289,28,10,10,0
150737,28,10,10,0
152109,28,10,7,3
209279,28,10,1,9
209281,28,10,2,8
209325,28,10,2,8
203377,28,10,10,0
203378,28,10,10,0
204487,28,10,2,8
204490,28,10,1,9
97234,28,10,10,0
97379,28,10,10,0
97256,28,10,10,0
153220,28,10,10,0
209380,28,10,2,8
209381,28,10,2,8
209382,28,10,2,8
78762,28,10,10,0
78764,28,10,10,0
204525,28,10,1,9
204526,28,10,1,9
204532,28,10,1,9
204533,28,10,1,9
204534,28,10,1,9
220673,28,10,10,0
209444,28,10,1,9
209445,28,10,1,9
209452,28,10,1,9
209453,28,10,1,9
209462,28,10,2,8
204555,28,10,1,9
204559,28,10,2,8
200927,28,10,10,0
209196,28,10,10,0
209197,28,10,10,0
209198,28,10,10,0
209199,28,10,10,0
209200,28,10,10,0
209201,28,10,10,0
209202,29,10,10,0
209203,29,10,10,0
209204,29,10,10,0
209205,29,10,10,0
209206,29,10,10,0
209207,29,10,10,0
209208,29,10,10,0
208689,29,10,10,0
203941,29,10,10,0
220557,29,10,8,2
77211,29,10,10,0
204562,29,10,2,8
220663,29,10,10,0
210186,29,10,1,9
210192,29,10,2,8
212134,29,10,1,9
212135,29,10,1,9
212136,29,10,1,9
212148,29,10,1,9
212155,29,10,2,8
210205,29,10,1,9
210208,29,10,2,8
212172,29,10,2,8
212175,29,10,1,9
212178,29,10,1,9
212180,29,10,2,8
212181,29,10,2,8
212182,29,10,1,9
212185,29,10,1,9
152073,29,10,0,10
240665,29,10,10,0
240666,29,10,10,0
240667,29,10,10,0
240668,29,10,10,0
240669,29,10,10,0
213466,29,10,1,9
213471,29,10,2,8
213479,29,10,2,8
213481,29,10,2,8
212225,29,10,2,8
212226,29,10,2,8
212227,29,10,2,8
212232,29,10,1,9
216276,29,10,2,8
216281,29,10,3,7
227326,29,10,10,0
227327,29,10,10,0
213511,29,10,1,9
213555,29,10,2,8
216289,29,10,1,9
216294,29,10,2,8
216319,29,10,1,9
216380,29,10,2,8
213668,29,10,2,8
213670,29,10,1,9
195376,29,10,2,8
216395,29,10,1,9
216397,29,10,1,9
216487,29,10,2,8
213690,29,10,2,8
213692,29,10,1,9
213693,29,10,1,9
213694,29,10,1,9
213699,29,10,1,9
213700,29,10,1,9
213702,29,10,1,9
216506,29,10,2,8
216524,29,10,1,9
216550,29,10,1,9
216553,29,10,2,8
216555,29,10,1,9
216557,29,10,1,9
216561,29,10,2,8
218263,29,10,10,0
214465,29,10,1,9
214471,29,10,2,8
216576,29,10,2,8
216581,29,10,1,9
216588,29,10,1,9
214659,29,10,2,8
216602,29,10,2,8
216607,29,10,1,9
216608,29,10,1,9
216612,29,10,2,8
216614,29,10,1,9
216615,29,10,1,9
216616,29,10,1,9
216621,29,10,2,8
214868,29,10,1,9
216630,29,10,2,8
216634,29,10,1,9
216640,29,10,1,9
216641,29,10,1,9
216651,29,10,2,8
227902,29,10,10,0
214880,29,10,2,8
214882,29,10,1,9
214896,29,10,1,9
217373,29,10,2,8
217376,29,10,1,9
217379,30,10,1,9
217383,30,10,1,9
217388,30,10,2,8
214901,30,10,1,9
214903,30,10,1,9
214906,30,10,2,8
214914,30,10,2,8
217396,30,10,2,8
217399,30,10,1,9
217403,30,10,2,8
217404,30,10,2,8
214915,30,10,3,7
214930,30,10,1,9
214934,30,10,2,8
217418,30,10,1,9
214954,30,10,2,8
214956,30,10,1,9
217435,30,10,2,8
217437,30,10,1,9
217451,30,10,1,9
218871,30,10,0,10
218874,30,10,2,8
218876,30,10,1,9
217471,30,10,2,8
217473,30,10,1,9
217475,30,10,2,8
217501,30,10,1,9
217704,30,10,1,9
217711,30,10,1,9
217714,30,10,1,9
200527,30,10,3,7
200539,30,10,3,7
217747,30,10,1,9
217748,30,10,1,9
217754,30,10,1,9
219873,30,10,2,8
219874,30,10,1,9
219875,30,10,1,9
219877,30,10,1,9
217781,30,10,1,9
217782,30,10,1,9
217791,30,10,1,9
219906,30,10,1,9
219910,30,10,1,9
219911,30,10,1,9
219912,30,10,1,9
219917,30,10,2,8
219919,30,10,1,9
220289,30,10,2,8
217804,30,10,2,8
217829,30,10,1,9
217832,30,10,1,9
217835,30,10,1,9
220298,30,10,2,8
220303,30,10,1,9
220312,30,10,2,8
217851,30,10,2,8
217854,30,10,1,9
217855,30,10,1,9
217860,30,10,2,8
217861,30,10,1,9
220383,30,10,1,9
221094,30,10,1,9
221095,30,10,1,9
221096,30,10,1,9
218130,30,10,1,9
218135,30,10,2,8
218136,30,10,1,9
218137,30,10,1,9
215323,30,9,4,5
262200,30,9,9,0
247247,30,9,9,0
247212,30,9,9,0
143103,30,9,9,0
153010,30,9,7,2
220776,30,9,9,0
202295,30,9,4,5
216775,30,9,9,0
203801,30,9,9,0
203783,30,9,9,0
203784,30,9,9,0
203785,30,9,9,0
203786,30,9,9,0
203787,30,9,9,0
203788,30,9,9,0
203789,30,9,9,0
203790,30,9,9,0
203791,30,9,9,0
203792,30,9,9,0
203914,30,9,9,0
203913,30,9,9,0
203917,30,9,9,0
203918,30,9,9,0
203919,30,9,9,0
203920,30,9,9,0
203739,30,9,9,0
203704,30,9,9,0
203705,30,9,9,0
203706,30,9,9,0
203707,30,9,9,0
203708,31,9,9,0
203709,31,9,9,0
203710,31,9,9,0
203711,31,9,9,0
203712,31,9,9,0
203713,31,9,9,0
203714,31,9,9,0
203715,31,9,9,0
203716,31,9,9,0
203717,31,9,9,0
203718,31,9,9,0
203719,31,9,9,0
203721,31,9,9,0
203722,31,9,9,0
203723,31,9,9,0
203724,31,9,9,0
203725,31,9,9,0
203726,31,9,9,0
203727,31,9,9,0
203728,31,9,9,0
203729,31,9,9,0
203730,31,9,9,0
203731,31,9,9,0
203732,31,9,9,0
203733,31,9,9,0
203734,31,9,9,0
203735,31,9,9,0
203736,31,9,9,0
203737,31,9,9,0
202741,31,9,1,8
152432,31,9,1,8
84771,31,9,2,7
152043,31,9,2,7
208628,31,9,2,7
208645,31,9,1,8
208646,31,9,1,8
220468,31,9,9,0
204051,31,9,2,7
204056,31,9,1,8
204064,31,9,1,8
297330,31,9,8,1
204073,31,9,2,7
204090,31,9,0,9
204091,31,9,0,9
204095,31,9,1,8
204096,31,9,1,8
204097,31,9,0,9
204414,31,9,1,8
204415,31,9,1,8
150728,31,9,9,0
150729,31,9,9,0
150730,31,9,9,0
150731,31,9,9,0
197819,31,9,9,0
208686,31,9,2,7
208698,31,9,2,7
200813,31,9,9,0
208722,31,9,1,8
204444,31,9,1,8
199841,31,9,9,0
209517,31,9,9,0
208743,31,9,2,7
204473,31,9,1,8
204475,31,9,1,8
204476,31,9,1,8
220555,31,9,9,0
209286,31,9,1,8
297159,31,9,8,1
215772,31,9,9,0
152650,31,9,9,0
73763,31,9,9,0
115792,31,9,9,0
75530,31,9,9,0
204513,31,9,2,7
204521,31,9,1,8
204522,31,9,1,8
78903,31,9,9,0
209386,31,9,1,8
209387,31,9,1,8
215867,31,9,9,0
244816,31,9,9,0
209434,31,9,2,7
204542,31,9,1,8
204543,31,9,0,9
209449,31,9,2,7
297282,31,9,9,0
204554,31,9,2,7
220725,31,9,9,0
220607,31,9,9,0
220695,31,9,9,0
212119,31,9,2,7
212121,31,9,2,7
209678,31,9,2,7
210188,31,9,1,8
212151,31,9,1,8
212156,31,9,2,7
78864,31,9,9,0
212161,31,9,2,7
210214,31,9,0,9
213456,31,9,2,7
213457,32,9,2,7
213459,32,9,2,7
227279,32,9,9,0
227391,32,9,9,0
227392,32,9,9,0
229500,32,9,9,0
212667,32,9,1,8
152110,32,9,5,4
216272,32,9,1,8
213494,32,9,2,7
213495,32,9,2,7
216282,32,9,2,7
216284,32,9,2,7
213552,32,9,1,8
213561,32,9,1,8
152074,32,9,0,9
216383,32,9,2,7
213676,32,9,1,8
216493,32,9,1,8
216497,32,9,2,7
36840,32,9,9,0
101475,32,9,9,0
226741,32,9,9,0
121544,32,9,9,0
121666,32,9,9,0
213685,32,9,2,7
213695,32,9,1,8
216499,32,9,2,7
216558,32,9,1,8
214468,32,9,1,8
214652,32,9,0,9
214655,32,9,0,9
214656,32,9,0,9
216582,32,9,1,8
216590,32,9,1,8
216598,32,9,2,7
216617,32,9,1,8
216618,32,9,1,8
214674,32,9,2,7
214864,32,9,1,8
216636,32,9,1,8
216649,32,9,1,8
216650,32,9,1,8
214897,32,9,0,9
217378,32,9,1,8
217386,32,9,1,8
214904,32,9,1,8
214912,32,9,1,8
214913,32,9,1,8
217414,32,9,1,8
217415,32,9,1,8
214931,32,9,1,8
217433,32,9,2,7
234073,32,9,9,0
214952,32,9,1,8
214959,32,9,1,8
214960,32,9,1,8
217455,32,9,1,8
214970,32,9,2,7
214974,32,9,1,8
217500,32,9,2,7
219666,32,9,1,8
219676,32,9,2,7
219684,32,9,2,7
219710,32,9,0,9
219714,32,9,1,8
217772,32,9,2,7
219882,32,9,2,7
219887,32,9,1,8
217792,32,9,1,8
219897,32,9,2,7
217802,32,9,2,7
217834,32,9,2,7
217839,32,9,1,8
219914,32,9,2,7
220291,32,9,2,7
220295,32,9,2,7
220371,32,9,1,8
217858,32,9,1,8
217866,32,9,1,8
217871,32,9,2,7
249142,32,9,9,0
249143,32,9,9,0
153687,32,9,3,6
217898,32,9,6,3
153764,32,9,3,6
220385,32,9,1,8
220742,32,9,2,7
153766,32,9,1,8
209584,32,8,8,0
158370,32,8,0,8
158371,32,8,0,8
247211,32,8,8,0
152022,32,8,4,4
40226,32,8,8,0
40227,32,8,8,0
114122,32,8,6,2
114178,32,8,8,0
114179,32,8,8,0
114180,32,8,8,0
207126,33,8,1,7
208464,33,8,0,8
208470,33,8,0,8
208471,33,8,1,7
208474,33,8,0,8
208475,33,8,0,8
220775,33,8,8,0
202728,33,8,1,7
202729,33,8,0,8
202731,33,8,0,8
202732,33,8,0,8
202735,33,8,1,7
202736,33,8,1,7
281350,33,8,8,0
50045,33,8,8,0
50046,33,8,8,0
50042,33,8,8,0
50043,33,8,8,0
50044,33,8,8,0
50040,33,8,8,0
220584,33,8,8,0
218258,33,8,8,0
207079,33,8,1,7
208631,33,8,1,7
208633,33,8,0,8
208650,33,8,1,7
204062,33,8,1,7
204063,33,8,1,7
204066,33,8,1,7
204067,33,8,1,7
152218,33,8,8,0
209925,33,8,8,0
209926,33,8,8,0
209901,33,8,8,0
209902,33,8,8,0
209903,33,8,8,0
209904,33,8,8,0
209905,33,8,8,0
209906,33,8,8,0
209907,33,8,8,0
209908,33,8,8,0
209909,33,8,8,0
209910,33,8,8,0
209911,33,8,8,0
209912,33,8,8,0
209913,33,8,8,0
209914,33,8,8,0
209915,33,8,8,0
209916,33,8,8,0
209892,33,8,8,0
209893,33,8,8,0
209894,33,8,8,0
209895,33,8,8,0
209924,33,8,8,0
218247,33,8,8,0
208667,33,8,0,8
208668,33,8,0,8
208669,33,8,0,8
208670,33,8,0,8
208672,33,8,1,7
208674,33,8,1,7
208675,33,8,0,8
208680,33,8,1,7
208682,33,8,1,7
208683,33,8,1,7
45719,33,8,8,0
45717,33,8,8,0
204101,33,8,1,7
204102,33,8,1,7
204412,33,8,1,7
195373,33,8,2,6
208511,33,8,8,0
204421,33,8,1,7
208853,33,8,8,0
208850,33,8,8,0
208701,33,8,1,7
208724,33,8,1,7
208725,33,8,1,7
208726,33,8,1,7
204430,33,8,1,7
204431,33,8,1,7
204433,33,8,0,8
204434,33,8,0,8
204443,33,8,0,8
204445,33,8,1,7
199843,33,8,8,0
218285,33,8,8,0
247328,33,8,8,0
220543,33,8,8,0
218499,33,8,8,0
204459,33,8,2,6
204460,33,8,1,7
204464,33,8,1,7
208741,33,8,2,6
208755,33,8,1,7
208756,33,8,1,7
208757,33,8,1,7
208758,33,8,0,8
208760,33,8,1,7
209158,33,8,1,7
209280,34,8,1,7
209284,34,8,0,8
209285,34,8,0,8
209288,34,8,1,7
209323,34,8,1,7
209324,34,8,1,7
220539,34,8,8,0
204488,34,8,1,7
204491,34,8,0,8
208761,34,8,2,6
204505,34,8,1,7
213824,34,8,8,0
213831,34,8,8,0
95744,34,8,8,0
218484,34,8,8,0
297391,34,8,6,2
204516,34,8,1,7
209340,34,8,1,7
209373,34,8,1,7
209375,34,8,0,8
209376,34,8,0,8
209378,34,8,0,8
209379,34,8,0,8
209383,34,8,0,8
209384,34,8,0,8
209385,34,8,0,8
209389,34,8,1,7
209390,34,8,1,7
204523,34,8,1,7
204524,34,8,0,8
204528,34,8,0,8
204530,34,8,1,7
204531,34,8,1,7
204537,34,8,1,7
204539,34,8,1,7
244824,34,8,8,0
209440,34,8,1,7
209441,34,8,1,7
209442,34,8,0,8
209443,34,8,0,8
209454,34,8,0,8
209459,34,8,1,7
209460,34,8,1,7
204549,34,8,1,7
204550,34,8,1,7
204551,34,8,0,8
204556,34,8,1,7
263867,34,8,8,0
215670,34,8,8,0
200836,34,8,8,0
50052,34,8,8,0
205860,34,8,8,0
206776,34,8,8,0
206777,34,8,8,0
206778,34,8,8,0
206779,34,8,8,0
206780,34,8,8,0
206781,34,8,8,0
206782,34,8,8,0
206783,34,8,8,0
206784,34,8,8,0
206785,34,8,8,0
206786,34,8,8,0
206787,34,8,8,0
153539,34,8,4,4
153537,34,8,4,4
209676,34,8,2,6
220633,34,8,8,0
210175,34,8,1,7
210177,34,8,0,8
210178,34,8,0,8
210179,34,8,0,8
210183,34,8,1,7
210187,34,8,0,8
212123,34,8,1,7
212129,34,8,2,6
212133,34,8,0,8
212149,34,8,0,8
212150,34,8,0,8
196370,34,8,8,0
227221,34,8,8,0
227270,34,8,8,0
210203,34,8,0,8
210204,34,8,0,8
210206,34,8,0,8
210207,34,8,0,8
210209,34,8,1,7
210210,34,8,1,7
210211,34,8,0,8
210212,34,8,0,8
227276,34,8,8,0
212171,34,8,1,7
212173,34,8,2,6
212174,34,8,0,8
212186,34,8,0,8
212176,34,8,1,7
209190,34,8,8,0
213464,34,8,1,7
213465,34,8,0,8
213467,34,8,0,8
213470,35,8,1,7
213472,35,8,1,7
213473,35,8,1,7
213474,35,8,0,8
213480,35,8,1,7
213482,35,8,1,7
212223,35,8,1,7
212228,35,8,1,7
212229,35,8,1,7
212665,35,8,0,8
216810,35,8,8,0
216812,35,8,8,0
92,35,8,8,0
76258,35,8,8,0
213500,35,8,0,8
213501,35,8,0,8
213502,35,8,0,8
213503,35,8,0,8
213506,35,8,1,7
213507,35,8,1,7
213508,35,8,0,8
213509,35,8,0,8
213553,35,8,1,7
197,35,8,8,0
216287,35,8,1,7
216288,35,8,1,7
216290,35,8,0,8
216293,35,8,0,8
216320,35,8,0,8
216338,35,8,0,8
216371,35,8,1,7
216372,35,8,1,7
122046,35,8,8,0
213562,35,8,0,8
213564,35,8,0,8
213665,35,8,1,7
213667,35,8,1,7
213675,35,8,1,7
216393,35,8,1,7
216396,35,8,0,8
216485,35,8,1,7
216486,35,8,1,7
216491,35,8,0,8
216484,35,8,1,7
216498,35,8,1,7
121920,35,8,8,0
121921,35,8,8,0
121922,35,8,8,0
121923,35,8,8,0
121924,35,8,8,0
121925,35,8,8,0
121926,35,8,8,0
121927,35,8,8,0
121928,35,8,8,0
121929,35,8,8,0
121930,35,8,8,0
121931,35,8,8,0
121932,35,8,8,0
121933,35,8,8,0
121934,35,8,8,0
121935,35,8,8,0
121918,35,8,8,0
121919,35,8,8,0
121937,35,8,8,0
121938,35,8,8,0
121939,35,8,8,0
121940,35,8,8,0
121941,35,8,8,0
121942,35,8,8,0
121943,35,8,8,0
121944,35,8,8,0
121945,35,8,8,0
121946,35,8,8,0
121947,35,8,8,0
121948,35,8,8,0
121949,35,8,8,0
121950,35,8,8,0
121951,35,8,8,0
121952,35,8,8,0
121953,35,8,8,0
121954,35,8,8,0
121955,35,8,8,0
121956,35,8,8,0
121957,35,8,8,0
121958,35,8,8,0
121959,35,8,8,0
121960,35,8,8,0
121961,35,8,8,0
121962,35,8,8,0
121963,35,8,8,0
121964,35,8,8,0
121965,35,8,8,0
121966,35,8,8,0
121682,35,8,8,0
121684,35,8,8,0
121700,35,8,8,0
121205,35,8,8,0
121198,35,8,8,0
121199,35,8,8,0
121200,35,8,8,0
121201,36,8,8,0
121202,36,8,8,0
121203,36,8,8,0
121204,36,8,8,0
121195,36,8,8,0
121584,36,8,8,0
121585,36,8,8,0
121586,36,8,8,0
245315,36,8,8,0
245316,36,8,8,0
245317,36,8,8,0
245318,36,8,8,0
245319,36,8,8,0
245320,36,8,8,0
245321,36,8,8,0
245322,36,8,8,0
245323,36,8,8,0
245324,36,8,8,0
245325,36,8,8,0
245326,36,8,8,0
245327,36,8,8,0
245701,36,8,8,0
245702,36,8,8,0
245703,36,8,8,0
231094,36,8,8,0
245730,36,8,8,0
245731,36,8,8,0
245732,36,8,8,0
245733,36,8,8,0
245734,36,8,8,0
245735,36,8,8,0
245736,36,8,8,0
245737,36,8,8,0
245738,36,8,8,0
245739,36,8,8,0
245740,36,8,8,0
245741,36,8,8,0
245742,36,8,8,0
245743,36,8,8,0
245744,36,8,8,0
245745,36,8,8,0
245778,36,8,8,0
245779,36,8,8,0
245780,36,8,8,0
245781,36,8,8,0
245782,36,8,8,0
245783,36,8,8,0
245784,36,8,8,0
245785,36,8,8,0
245786,36,8,8,0
245787,36,8,8,0
245788,36,8,8,0
245789,36,8,8,0
245790,36,8,8,0
245791,36,8,8,0
245792,36,8,8,0
245793,36,8,8,0
245842,36,8,8,0
245843,36,8,8,0
245844,36,8,8,0
245845,36,8,8,0
245846,36,8,8,0
245847,36,8,8,0
245848,36,8,8,0
245849,36,8,8,0
245850,36,8,8,0
245851,36,8,8,0
245852,36,8,8,0
245853,36,8,8,0
245854,36,8,8,0
245855,36,8,8,0
245856,36,8,8,0
245857,36,8,8,0
246404,36,8,8,0
246405,36,8,8,0
246406,36,8,8,0
246407,36,8,8,0
246408,36,8,8,0
246409,36,8,8,0
246410,36,8,8,0
246411,36,8,8,0
246412,36,8,8,0
246413,36,8,8,0
246414,36,8,8,0
246415,36,8,8,0
246416,36,8,8,0
246417,36,8,8,0
246418,36,8,8,0
246419,36,8,8,0
246716,36,8,8,0
246717,36,8,8,0
246718,36,8,8,0
246719,36,8,8,0
246720,36,8,8,0
246721,36,8,8,0
246722,36,8,8,0
246723,36,8,8,0
246724,36,8,8,0
246725,36,8,8,0
246726,36,8,8,0
246727,37,8,8,0
246728,37,8,8,0
246729,37,8,8,0
247339,37,8,8,0
247545,37,8,8,0
248695,37,8,8,0
248696,37,8,8,0
248697,37,8,8,0
248698,37,8,8,0
249934,37,8,8,0
249935,37,8,8,0
249971,37,8,8,0
249972,37,8,8,0
249983,37,8,8,0
249985,37,8,8,0
261696,37,8,8,0
261697,37,8,8,0
261698,37,8,8,0
261699,37,8,8,0
302720,37,8,8,0
303432,37,8,8,0
303433,37,8,8,0
303434,37,8,8,0
229490,37,8,8,0
229491,37,8,8,0
229492,37,8,8,0
229493,37,8,8,0
229494,37,8,8,0
229495,37,8,8,0
229496,37,8,8,0
229497,37,8,8,0
229501,37,8,8,0
229513,37,8,8,0
229520,37,8,8,0
229522,37,8,8,0
229683,37,8,8,0
229684,37,8,8,0
229685,37,8,8,0
229686,37,8,8,0
229695,37,8,8,0
229698,37,8,8,0
229700,37,8,8,0
229701,37,8,8,0
229702,37,8,8,0
229703,37,8,8,0
229704,37,8,8,0
229705,37,8,8,0
229706,37,8,8,0
229707,37,8,8,0
229708,37,8,8,0
229709,37,8,8,0
229710,37,8,8,0
229731,37,8,8,0
229732,37,8,8,0
229733,37,8,8,0
229734,37,8,8,0
229735,37,8,8,0
229736,37,8,8,0
229737,37,8,8,0
229738,37,8,8,0
229739,37,8,8,0
229740,37,8,8,0
229741,37,8,8,0
229742,37,8,8,0
229743,37,8,8,0
229770,37,8,8,0
229771,37,8,8,0
229787,37,8,8,0
229788,37,8,8,0
229789,37,8,8,0
229790,37,8,8,0
229791,37,8,8,0
229792,37,8,8,0
229793,37,8,8,0
229794,37,8,8,0
229892,37,8,8,0
229893,37,8,8,0
229894,37,8,8,0
229895,37,8,8,0
229896,37,8,8,0
229897,37,8,8,0
229898,37,8,8,0
229899,37,8,8,0
229901,37,8,8,0
229902,37,8,8,0
229903,37,8,8,0
229904,37,8,8,0
229905,37,8,8,0
229906,37,8,8,0
229907,37,8,8,0
229908,37,8,8,0
229909,37,8,8,0
229915,37,8,8,0
229916,37,8,8,0
231013,37,8,8,0
231014,37,8,8,0
231015,37,8,8,0
231016,37,8,8,0
231017,37,8,8,0
231018,37,8,8,0
231019,38,8,8,0
231020,38,8,8,0
231021,38,8,8,0
231022,38,8,8,0
231023,38,8,8,0
231024,38,8,8,0
231025,38,8,8,0
231026,38,8,8,0
231027,38,8,8,0
231028,38,8,8,0
231048,38,8,8,0
231049,38,8,8,0
231050,38,8,8,0
231051,38,8,8,0
231052,38,8,8,0
231053,38,8,8,0
231054,38,8,8,0
231055,38,8,8,0
231056,38,8,8,0
231057,38,8,8,0
231058,38,8,8,0
231059,38,8,8,0
231060,38,8,8,0
231061,38,8,8,0
231062,38,8,8,0
231063,38,8,8,0
247544,38,8,8,0
121936,38,8,8,0
213684,38,8,1,7
213691,38,8,0,8
213697,38,8,1,7
213698,38,8,1,7
214442,38,8,1,7
216507,38,8,0,8
216552,38,8,1,7
216554,38,8,0,8
216560,38,8,1,7
213696,38,8,1,7
216551,38,8,1,7
214466,38,8,0,8
214467,38,8,0,8
214648,38,8,0,8
216578,38,8,1,7
216579,38,8,0,8
216580,38,8,0,8
216583,38,8,0,8
216584,38,8,1,7
216585,38,8,1,7
216586,38,8,1,7
216587,38,8,0,8
216589,38,8,0,8
216592,38,8,1,7
216594,38,8,1,7
249753,38,8,8,0
214658,38,8,1,7
214661,38,8,0,8
214672,38,8,1,7
216605,38,8,0,8
216609,38,8,0,8
216610,38,8,0,8
216611,38,8,1,7
214857,38,8,1,7
214858,38,8,1,7
214859,38,8,1,7
214860,38,8,0,8
214862,38,8,0,8
214871,38,8,0,8
216633,38,8,0,8
216635,38,8,0,8
216639,38,8,1,7
32801,38,8,8,0
227839,38,8,8,0
214879,38,8,1,7
214881,38,8,0,8
217372,38,8,1,7
217374,38,8,1,7
217375,38,8,0,8
217377,38,8,0,8
217380,38,8,1,7
217381,38,8,1,7
217385,38,8,0,8
217390,38,8,1,7
214905,38,8,0,8
214907,38,8,1,7
214909,38,8,0,8
214911,38,8,0,8
214917,38,8,1,7
214918,38,8,1,7
217397,38,8,0,8
217398,38,8,0,8
217405,38,8,0,8
217406,38,8,0,8
217408,38,8,0,8
217411,38,8,1,7
214925,38,8,1,7
214926,38,8,1,7
214927,38,8,1,7
214929,38,8,0,8
214932,38,8,0,8
214936,38,8,0,8
214937,39,8,0,8
214942,39,8,1,7
214945,39,8,1,7
217417,39,8,0,8
217419,39,8,0,8
217423,39,8,1,7
217424,39,8,1,7
217425,39,8,0,8
217426,39,8,0,8
217427,39,8,0,8
234074,39,8,8,0
234075,39,8,8,0
234076,39,8,8,0
234077,39,8,8,0
209535,39,8,8,0
214951,39,8,0,8
214953,39,8,1,7
214955,39,8,0,8
214958,39,8,0,8
214961,39,8,1,7
214963,39,8,1,7
217436,39,8,0,8
217438,39,8,0,8
217440,39,8,0,8
217441,39,8,1,7
217442,39,8,1,7
217452,39,8,1,7
217453,39,8,0,8
217456,39,8,1,7
217458,39,8,1,7
214976,39,8,0,8
218878,39,8,0,8
217472,39,8,1,7
217474,39,8,0,8
217499,39,8,1,7
217502,39,8,0,8
219626,39,8,1,7
219627,39,8,1,7
219628,39,8,0,8
219631,39,8,0,8
219635,39,8,0,8
219636,39,8,0,8
219637,39,8,1,7
219643,39,8,1,7
219645,39,8,0,8
219664,39,8,0,8
219665,39,8,0,8
219671,39,8,1,7
219673,39,8,1,7
217536,39,8,1,7
217705,39,8,0,8
217706,39,8,0,8
217709,39,8,1,7
217710,39,8,1,7
217712,39,8,0,8
219704,39,8,2,6
202287,39,8,2,6
219709,39,8,0,8
219858,39,8,1,7
219859,39,8,1,7
219861,39,8,1,7
219862,39,8,1,7
217743,39,8,1,7
217744,39,8,0,8
217745,39,8,0,8
217746,39,8,0,8
217750,39,8,1,7
217753,39,8,0,8
217759,39,8,1,7
219876,39,8,0,8
219881,39,8,1,7
219883,39,8,0,8
219884,39,8,0,8
219885,39,8,0,8
219888,39,8,1,7
219890,39,8,1,7
217776,39,8,1,7
217777,39,8,1,7
217778,39,8,0,8
217779,39,8,0,8
217788,39,8,1,7
217789,39,8,0,8
217790,39,8,0,8
217796,39,8,1,7
217798,39,8,1,7
219907,39,8,1,7
219918,39,8,0,8
219920,39,8,0,8
217825,39,8,2,6
217826,39,8,1,7
217827,39,8,0,8
217828,39,8,0,8
217836,39,8,0,8
217838,39,8,0,8
217845,39,8,1,7
220299,39,8,2,6
220301,39,8,0,8
220302,39,8,0,8
220311,39,8,1,7
217853,39,8,0,8
217856,40,8,0,8
