IRG,accesses,reads,writes
8373,2,0,0
8374,4,0,0
8377,0,0,2
8382,0,0,2
8384,2,0,0
8385,2,0,0
8390,0,0,2
8394,2,0,0
8396,2,0,4
8399,0,1,0
8400,5,2,2
8401,3,0,0
8407,0,1,8
8410,1,0,0
8411,0,0,2
8412,0,0,2
8416,0,1,4
8417,0,0,2
8420,2,0,0
8421,0,0,2
8424,0,1,0
8429,0,0,4
8435,0,1,0
8437,4,0,0
8439,0,0,2
8440,2,0,2
8441,1,0,0
8442,0,0,1
8443,1,1,0
8444,0,0,2
8447,4,0,0
8452,2,0,0
8456,2,0,0
8458,4,0,0
8460,0,0,2
8462,1,0,1
8464,4,0,0
8467,0,1,2
8468,0,0,3
8479,1,0,0
8481,0,1,0
8482,2,0,4
8483,2,0,0
8488,1,0,0
8490,1,0,2
8491,0,0,4
8492,0,0,2
8495,0,1,0
8500,1,0,0
8503,4,0,0
8508,0,1,0
8512,1,0,0
8516,0,1,0
8518,4,0,2
8520,0,0,2
8521,4,0,0
8522,0,1,0
8527,3,0,0
8528,2,0,0
8533,0,0,2
8535,1,0,0
8536,1,0,1
8537,4,0,0
8538,0,0,1
8542,0,0,2
8543,6,0,4
8544,0,1,2
8545,1,0,0
8547,2,0,0
8551,0,1,0
8552,0,0,4
8553,0,0,1
8555,2,0,0
8556,0,0,2
8558,0,1,0
8562,0,1,2
8566,4,0,0
8568,3,1,8
8572,2,1,0
8573,0,1,4
8574,0,0,4
8576,0,0,2
8577,0,0,2
8578,0,0,2
8580,0,0,2
8582,0,0,2
8583,0,0,2
8588,0,0,4
8589,1,0,0
8590,1,0,4
8591,1,0,0
8594,1,0,0
8595,2,0,6
8596,4,0,0
8597,1,0,0
8598,0,0,2
8599,0,0,4
8600,0,0,3
8601,2,0,0
8602,0,0,1
8604,0,1,0
8606,0,0,2
8608,0,0,8
8610,0,0,4
8611,0,0,4
8612,0,1,0
8613,3,1,6
8614,0,1,2
8615,0,0,3
8616,2,0,0
8617,4,0,0
8618,0,0,4
8619,0,0,2
8620,0,0,4
8623,0,1,8
8625,0,0,2
8626,0,0,2
8627,2,0,0
8629,7,0,4
8630,0,1,0
8631,0,0,4
8632,0,0,2
8633,2,0,0
8634,0,0,4
8635,0,1,2
8636,0,0,4
8639,0,0,4
8640,0,0,2
8641,0,0,4
8642,0,0,2
8643,1,0,0
8644,1,0,1
8645,1,0,0
8647,0,0,1
8649,4,1,0
8650,0,0,2
8651,1,0,4
8652,2,0,2
8654,1,1,1
8656,2,0,0
8658,0,0,1
8661,1,0,2
8662,0,0,2
8663,0,0,2
8665,2,0,0
8666,0,1,2
8667,0,0,1
8668,2,1,1
8672,1,0,0
8682,0,0,6
8686,0,0,2
8687,0,0,6
8688,0,0,2
8690,2,0,0
8691,2,0,0
8695,0,2,1
8699,3,0,0
8700,2,0,0
8701,1,0,2
8704,4,0,0
8706,0,0,2
8708,4,0,2
8710,0,0,4
8712,0,1,2
8716,0,0,2
8717,0,0,3
8718,0,0,2
8719,0,0,15
8721,1,0,2
8722,0,1,0
8728,0,0,6
8730,0,0,2
8731,0,0,2
8732,0,0,4
8734,0,0,3
8736,1,0,2
8738,0,0,2
8739,0,0,8
8741,0,0,1
8742,0,0,1
8743,0,0,3
8746,2,1,1
8747,0,0,4
8748,2,0,0
8749,2,0,4
8750,2,0,0
8751,0,0,4
8754,0,0,1
8755,0,1,0
8756,0,0,2
8757,0,0,2
8758,1,1,2
8759,0,1,0
8760,0,1,2
8764,0,1,4
8766,4,0,0
8767,0,0,2
8768,0,0,4
8770,0,0,1
8773,0,1,2
8778,4,0,0
8784,1,0,0
8785,4,0,0
8789,0,0,1
8792,4,0,0
8793,2,0,0
8794,0,1,0
8797,1,0,0
8799,0,1,0
8800,0,1,0
8810,4,0,0
8816,0,1,0
8818,1,0,0
8820,0,1,0
8825,1,0,0
8833,0,1,0
8838,0,0,1
8841,0,1,0
8842,0,0,1
8844,4,0,0
8846,4,0,0
8852,0,1,0
8853,0,0,1
8854,0,1,0
8856,1,0,0
8860,1,0,0
8862,4,0,0
8864,1,0,0
8867,1,0,0
8869,0,1,0
8872,4,0,0
8876,0,1,0
8884,1,0,0
8888,4,1,0
8891,0,1,0
8892,2,0,0
8898,2,0,0
8902,0,1,0
8905,2,0,0
8907,2,0,1
8910,1,0,0
8912,0,0,1
8913,0,0,1
8917,1,0,1
8928,0,2,0
8930,1,0,0
8932,1,0,0
8934,0,0,2
8938,1,0,0
8940,0,0,1
8943,0,2,0
8947,1,1,0
8952,0,0,1
8955,0,1,0
8956,2,0,0
8957,0,0,1
8958,2,0,0
8961,1,0,0
8962,0,0,1
8963,2,0,0
8965,2,0,0
8968,4,0,0
8972,4,0,0
8978,0,1,0
8981,4,0,0
8983,0,1,0
8986,0,0,2
8988,0,0,1
8992,0,0,1
8994,4,0,0
8995,0,0,1
8999,1,0,0
9000,0,1,0
9005,0,1,0
9007,2,0,0
9008,5,0,0
9009,1,0,0
9010,2,0,0
9011,0,0,1
9012,0,1,0
9014,0,1,0
9017,1,0,0
9027,0,2,0
9033,0,0,1
9035,0,1,0
9042,2,1,0
9052,2,0,0
9054,2,0,0
9055,1,0,0
9059,4,0,0
9062,0,0,1
9063,0,2,0
9069,1,0,0
9070,0,1,0
9073,4,0,0
9077,0,1,0
9078,0,1,0
9083,4,0,0
9085,4,0,0
9086,0,1,0
9088,0,1,0
9091,0,1,0
9092,1,0,0
9097,2,0,0
9100,0,1,0
9107,0,1,0
9113,2,1,0
9114,2,0,0
9119,5,0,0
9133,1,0,0
9135,0,0,1
9136,0,0,2
9138,0,1,0
9140,2,0,0
9141,2,0,1
9142,0,0,3
9143,0,0,1
9147,0,1,0
9148,0,1,0
9149,2,0,0
9151,2,0,2
9152,0,1,0
9153,0,0,2
9154,1,0,0
9159,0,1,1
9161,1,0,0
9164,0,1,1
9165,1,0,2
9169,0,0,1
9170,0,1,0
9171,0,0,1
9173,0,1,10
9175,4,0,0
9176,0,1,0
9177,0,0,2
9188,0,1,0
9191,0,1,0
9194,0,0,1
9196,4,0,0
9204,0,1,0
9209,0,0,1
9210,2,1,0
9212,0,0,1
9213,0,0,9
9214,2,0,2
9215,0,0,1
9216,4,0,2
9217,4,0,0
9218,1,0,0
9221,0,1,0
9222,0,0,1
9226,0,0,2
9227,5,0,0
9231,1,1,0
9238,0,0,1
9242,1,0,0
9243,0,1,0
9247,1,1,0
9254,0,0,1
9258,0,1,0
9259,4,1,0
9262,0,1,0
9263,4,0,0
9267,1,0,0
9271,4,0,0
9274,1,0,0
9284,2,0,0
9297,2,0,0
9298,0,1,0
9300,0,1,0
9306,0,1,0
9309,0,1,0
9313,1,0,0
9315,1,0,0
9316,1,0,0
9317,0,1,0
9319,1,0,0
9320,4,0,0
9321,0,1,0
9322,0,0,1
9332,0,1,0
9335,0,1,0
9341,1,0,0
9353,1,0,0
9360,1,0,0
9362,4,1,0
9368,2,1,0
9372,2,0,0
9375,1,0,0
9377,4,0,0
9382,0,1,0
9383,1,0,0
9387,2,0,0
9388,2,1,0
9392,0,1,0
9394,2,0,0
9398,3,0,0
9406,0,1,0
9407,5,0,0
9409,0,1,1
9410,0,0,2
9411,1,0,1
9417,0,0,4
9420,2,0,4
9421,1,0,0
9424,0,1,0
9425,0,0,2
9429,0,1,0
9434,1,0,0
9435,0,1,2
9439,0,0,2
9440,4,0,0
9441,0,1,13
9443,0,0,2
9444,0,0,2
9445,0,0,1
9447,9,0,1
9448,0,0,1
9450,0,1,2
9451,0,0,5
9453,0,0,12
9454,0,0,3
9456,0,0,1
9459,0,0,3
9460,0,0,2
9461,0,2,0
9462,2,0,0
9463,0,0,1
9464,0,0,2
9467,0,0,5
9468,4,1,0
9469,2,0,0
9471,0,0,1
9472,0,0,1
9473,3,0,0
9474,0,0,4
9477,1,1,1
9479,1,0,0
9480,0,1,0
9484,0,1,0
9486,0,1,0
9493,0,0,4
9496,2,0,0
9497,6,0,0
9506,1,0,0
9508,0,0,1
9509,1,0,0
9511,0,1,0
9514,0,2,0
9520,1,0,0
9526,0,0,1
9530,2,0,0
9531,2,0,0
9534,4,0,0
9536,1,0,0
9540,0,1,0
9544,0,0,1
9548,0,1,0
9549,0,1,0
9551,0,0,2
9552,0,2,0
9554,0,0,1
9558,0,1,0
9559,0,0,1
9563,2,0,0
9565,2,0,1
9568,4,0,1
9572,0,0,1
9578,0,1,0
9579,4,0,0
9580,1,0,0
9584,1,1,0
9585,0,1,1
9589,0,0,1
9598,0,1,0
9602,1,0,0
9603,0,0,4
9605,0,1,0
9613,0,1,0
9614,0,0,13
9616,1,0,0
9617,0,0,2
9624,1,0,0
9625,2,0,0
9629,2,0,0
9634,4,1,0
9636,0,2,0
9638,0,0,1
9639,0,0,1
9640,0,1,0
9641,1,0,0
9647,1,0,0
9650,0,0,1
9651,0,1,0
9655,2,0,0
9657,4,0,0
9658,2,0,0
9661,2,0,0
9665,5,0,0
9669,2,0,0
9671,0,0,2
9672,0,0,2
9679,3,0,0
9680,0,0,1
9681,1,0,0
9682,1,1,0
9683,2,0,0
9684,4,0,0
9686,1,0,0
9687,0,0,1
9692,0,1,0
9694,0,2,0
9695,0,0,4
9696,0,0,8
9697,3,0,0
9701,3,0,0
9703,1,1,0
9705,1,0,0
9706,0,1,0
9713,4,0,0
9715,0,1,0
9723,0,2,0
9728,1,0,0
9729,5,0,0
9732,4,0,0
9736,0,1,0
9738,1,0,0
9745,2,0,0
9747,2,1,0
9748,0,0,2
9749,3,1,0
9750,0,1,0
9752,0,0,1
9756,4,0,0
9757,1,0,0
9760,2,0,0
9761,2,0,0
9762,0,0,1
9763,0,0,1
9764,0,1,1
9772,0,0,1
9773,4,0,0
9777,4,0,2
9778,0,0,1
9781,0,0,1
9782,6,0,0
9783,2,0,8
9785,0,1,0
9786,2,0,0
9788,2,1,0
9789,2,0,0
9792,1,0,0
9794,0,1,0
9797,1,0,0
9801,0,1,0
9804,1,0,0
9807,0,1,5
9808,0,0,3
9809,0,0,6
9810,3,0,0
9811,2,0,0
9812,0,0,1
9815,2,1,0
9817,0,1,0
9819,0,1,0
9822,0,1,0
9823,2,0,1
9824,1,0,0
9827,4,0,0
9829,0,1,0
9830,4,0,0
9834,4,0,0
9835,0,1,0
9838,0,2,0
9840,1,0,0
9841,4,0,0
9847,2,0,0
9848,0,0,2
9849,0,0,1
9850,0,1,0
9851,0,1,1
9853,2,0,0
9854,4,0,0
9855,0,2,0
9857,4,1,0
9860,0,0,1
9861,0,1,3
9862,0,0,1
9863,1,0,1
9864,0,1,1
9865,0,0,2
9867,0,2,0
9868,1,0,0
9870,0,0,1
9871,0,0,2
9875,2,0,0
9876,4,0,0
9877,2,0,1
9878,0,0,1
9880,0,1,2
9881,0,0,1
9883,0,0,1
9886,0,1,0
9888,0,0,1
9896,0,1,0
9901,0,1,0
9902,1,0,0
9906,4,0,0
9907,2,0,0
9914,4,0,0
9915,0,1,0
9917,1,1,0
9918,1,0,0
9922,0,1,0
9926,0,2,0
9936,0,1,0
9937,0,2,0
9942,1,0,0
9949,1,0,0
9950,4,0,0
9951,0,1,0
9952,0,1,0
9954,0,1,0
9958,4,0,0
9963,4,0,0
9968,2,0,0
9970,2,0,0
9976,2,1,0
9978,2,0,0
9979,0,1,0
9981,0,1,0
9985,1,0,0
9987,2,0,0
9996,0,0,1
9997,0,1,0
9998,1,0,0
10005,0,0,1
10008,4,0,0
10009,1,0,0
10010,1,0,0
10011,0,1,0
10012,0,0,1
10014,0,1,1
10020,1,0,0
10022,0,1,0
10024,4,0,1
10031,0,1,1
10033,0,0,1
10037,0,0,2
10039,0,0,1
10041,0,1,0
10042,0,1,1
10046,0,1,1
10047,0,0,2
10048,0,2,2
10049,5,0,0
10050,0,0,1
10051,1,0,0
10052,2,0,0
10053,0,0,3
10054,2,0,0
10055,4,0,0
10056,0,0,1
10058,1,0,0
10061,0,1,0
10062,0,1,2
10063,0,0,1
10064,0,1,1
10072,0,0,1
10075,0,1,0
10079,0,1,0
10083,4,0,0
10086,1,1,2
10092,1,0,0
10094,1,0,0
10098,0,2,0
10099,4,0,0
10100,1,0,0
10101,0,0,8
10103,1,0,0
10104,0,1,0
10106,0,1,0
10111,2,0,0
10114,6,0,0
10116,1,0,0
10120,0,1,0
10122,0,0,1
10124,1,0,0
10125,1,0,0
10129,0,1,0
10130,4,0,0
10135,0,1,0
10136,1,0,0
10137,0,1,0
10141,4,0,0
10142,0,1,0
10144,4,1,0
10149,10,0,0
10151,0,1,0
10159,0,1,0
10160,0,1,0
10163,0,0,1
10165,0,1,0
10169,4,0,0
10183,1,1,0
10190,4,0,0
10191,1,1,0
10192,0,1,0
10197,1,0,0
10201,1,0,0
10204,4,0,0
10205,0,1,0
10207,0,1,0
10208,0,1,0
10214,2,0,0
10215,2,0,0
10217,1,0,0
10218,0,1,0
10229,0,1,0
10231,0,1,0
10232,4,0,0
10234,0,1,0
10236,1,0,0
10241,0,1,0
10242,0,2,0
10243,4,0,0
10246,0,1,0
10248,1,0,0
10250,0,1,0
10252,1,0,0
10256,4,0,0
10257,0,0,1
10264,1,0,0
10265,0,1,0
10266,4,0,0
10273,0,0,3
10274,0,1,0
10281,1,0,0
10282,0,1,0
10285,0,0,2
10286,0,1,0
10290,0,1,0
10294,0,0,2
10297,4,2,0
10299,1,0,0
10302,1,0,0
10303,0,1,0
10306,5,1,7
10311,0,1,0
10312,2,0,0
10314,2,0,0
10315,4,0,0
10324,1,0,0
10329,0,1,0
10331,0,0,6
10334,1,0,0
10335,2,0,1
10336,0,0,2
10337,4,1,0
10338,2,0,0
10340,1,0,0
10341,2,0,0
10342,2,0,1
10343,0,1,13
10345,2,0,0
10346,0,1,0
10347,1,0,0
10348,0,0,1
10349,2,0,0
10351,1,1,1
10352,4,0,0
10354,1,0,0
10356,4,1,0
10357,1,0,0
10358,2,0,0
10359,0,1,2
10360,2,0,3
10361,0,0,1
10362,0,0,1
10364,1,0,6
10368,0,1,0
10369,2,0,0
10370,0,0,1
10378,0,0,1
10383,1,0,1
10384,1,0,0
10385,0,1,1
10386,1,0,0
10387,1,0,0
10388,0,1,0
10392,0,1,0
10394,0,1,0
10395,0,0,1
10396,0,0,2
10397,4,0,0
10398,0,1,0
10400,1,0,0
10407,0,0,1
10411,2,0,0
10413,2,0,1
10424,2,0,0
10427,0,0,1
10428,2,0,0
10430,1,0,0
10431,1,0,0
10432,1,0,0
10433,1,0,0
10435,2,0,0
10436,7,0,0
10439,3,0,0
10441,3,0,0
10444,1,0,0
10447,0,1,0
10448,2,0,0
10450,0,1,0
10452,2,0,0
10453,0,1,0
10455,4,0,0
10456,0,1,0
10459,1,0,0
10460,0,1,0
10461,1,1,0
10463,1,1,0
10473,1,0,0
10476,1,0,0
10484,1,1,0
10488,0,1,0
10489,2,0,0
10490,3,0,0
10492,0,1,0
10493,1,0,0
10494,0,1,0
10496,1,1,0
10501,4,0,0
10503,0,1,0
10510,0,1,0
10511,2,0,0
10512,4,0,0
10514,2,0,0
10515,0,1,0
10521,2,0,0
10523,0,1,0
10527,1,0,0
10529,0,1,0
10530,2,0,0
10531,1,0,0
10535,0,0,3
10538,2,0,0
10539,4,0,0
10542,2,0,0
10543,1,0,0
10544,0,1,0
10546,0,0,1
10554,0,1,0
10556,2,0,0
10557,1,0,0
10558,0,0,1
10560,2,0,0
10564,0,1,0
10569,0,2,0
10574,0,0,1
10579,2,0,0
10581,6,0,0
10583,0,0,1
10584,2,0,0
10585,1,2,0
10591,2,0,0
10593,2,0,0
10594,1,0,0
10597,2,0,0
10601,4,1,0
10606,0,1,0
10610,0,0,1
10613,0,1,0
10615,0,0,2
10617,0,1,0
10619,1,0,0
10620,0,1,0
10621,1,0,0
10624,2,0,0
10629,1,0,0
10630,2,0,1
10631,2,0,0
10632,2,0,0
10635,1,2,0
10636,4,0,0
10639,1,0,0
10640,2,0,0
10649,4,1,0
10652,1,0,0
10655,1,0,0
10658,0,0,1
10662,0,1,0
10663,1,0,0
10669,0,0,1
10674,1,1,0
10675,0,1,0
10678,4,0,0
10684,0,1,0
10686,1,0,0
10692,4,0,0
10693,6,0,0
10694,0,1,0
10695,0,1,0
10698,2,0,0
10701,1,0,0
10705,4,0,0
10710,0,1,0
10712,1,0,0
10714,0,1,0
10720,4,0,0
10723,0,0,2
10724,0,0,2
10729,0,0,1
10734,1,0,0
10736,0,1,1
10740,1,0,0
10744,4,0,7
10745,1,0,0
10749,0,1,0
10750,0,1,0
10751,0,0,1
10754,0,0,2
10756,0,0,2
10757,0,0,1
10762,0,1,0
10764,0,1,0
10766,1,0,0
10768,0,1,0
10769,0,1,0
10772,2,0,0
10773,4,0,0
10774,2,0,0
10779,1,0,0
10782,0,0,5
10785,0,0,5
10787,2,0,0
10789,4,0,0
10790,2,0,0
10799,4,1,2
10800,1,1,0
10801,0,1,0
10803,0,0,1
10808,0,0,2
10812,5,1,0
10821,0,1,0
10822,0,1,0
10823,1,0,0
10827,1,0,0
10833,1,0,0
10837,5,0,0
10839,0,1,0
10842,1,0,0
10844,0,0,1
10846,0,0,1
10847,4,1,1
10850,0,1,0
10851,0,0,1
10852,6,2,0
10854,3,0,0
10856,0,0,1
10858,0,1,0
10859,1,0,2
10861,0,0,1
10862,2,0,0
10866,2,0,0
10868,0,1,0
10869,1,0,0
10870,2,0,0
10871,2,2,0
10879,4,0,0
10883,1,0,0
10884,4,0,0
10886,1,0,0
10887,1,0,0
10888,0,1,0
10889,0,0,12
10890,2,0,0
10891,2,0,0
10894,1,0,0
10904,1,0,0
10905,1,0,0
10906,2,0,0
10908,2,0,0
10912,0,1,0
10913,0,0,1
10914,0,1,0
10917,0,1,0
10925,0,1,0
10927,5,0,0
10933,0,1,0
10936,1,0,0
10940,1,0,0
10953,1,0,0
10954,0,1,0
10956,2,0,0
10960,2,1,0
10965,0,1,0
10968,1,0,1
10975,1,1,0
10979,4,0,0
10985,0,1,0
10989,2,0,0
10990,1,0,0
10991,0,1,0
10992,4,0,0
10996,0,0,8
10998,2,1,0
11000,10,0,0
11001,2,1,0
11002,2,0,0
11003,0,1,0
11004,1,0,1
11011,1,0,0
11012,0,0,1
11013,0,0,1
11014,0,0,5
11016,2,1,0
11018,2,1,0
11023,1,0,0
11024,0,0,6
11025,0,0,13
11029,2,0,0
11030,2,0,0
11032,1,0,0
11035,1,0,0
11038,1,0,2
11041,0,1,0
11043,0,0,13
11044,1,0,0
11046,0,0,1
11048,0,1,0
11049,2,0,0
11050,3,0,0
11051,2,1,2
11052,0,0,1
11054,0,0,2
11055,1,0,0
11057,2,0,1
11058,1,0,6
11059,0,0,2
11060,0,1,0
11062,0,1,0
11070,0,1,1
11083,4,0,0
11084,2,0,0
11085,1,0,0
11086,1,0,0
11088,2,0,0
11089,0,1,0
11096,4,1,0
11097,1,0,0
11098,0,1,0
11102,3,0,0
11104,2,0,0
11114,2,0,0
11115,0,1,0
11116,0,1,0
11117,2,0,0
11119,0,0,5
11122,1,0,0
11125,1,0,0
11129,4,0,1
11130,0,1,0
11131,6,0,0
11132,1,1,0
11133,1,0,0
11134,0,1,0
11135,1,0,1
11138,1,0,0
11139,0,1,0
11143,4,0,0
11145,0,0,1
11151,2,0,0
11153,2,0,2
11154,0,0,12
11156,1,0,0
11157,0,0,6
11159,2,0,0
11160,2,0,0
11166,0,0,2
11167,0,0,1
11168,0,1,1
11169,0,0,1
11170,1,0,0
11172,0,0,2
11174,0,0,1
11177,1,0,0
11178,5,0,13
11180,1,0,0
11181,0,0,1
11182,2,0,0
11184,2,0,0
11185,0,1,0
11186,0,2,0
11188,1,0,0
11192,2,0,0
11200,4,0,0
11201,2,0,0
11202,1,0,0
11207,0,0,2
11211,2,0,0
11212,0,1,0
11214,0,2,0
11221,0,1,0
11226,4,0,0
11228,1,0,3
11231,3,0,0
11233,2,0,0
11238,0,0,6
11242,1,0,0
11244,1,0,0
11249,2,0,0
11251,2,0,0
11253,2,1,0
11255,6,0,0
11257,1,0,0
11259,0,1,0
11264,0,1,0
11265,1,0,0
11270,1,1,0
11271,1,0,0
11272,2,1,0
11274,2,0,0
11275,2,0,0
11276,2,0,0
11281,1,1,0
11286,1,1,0
11289,1,0,0
11290,4,0,0
11293,4,0,0
11295,1,0,0
11297,0,0,1
11298,0,1,0
11307,0,1,0
11309,0,1,0
11311,4,0,0
11313,0,1,0
11320,4,0,0
11322,2,0,0
11323,5,0,0
11324,4,0,0
11328,0,0,3
11333,2,1,0
11334,4,0,0
11336,0,0,7
11337,1,0,0
11338,1,0,0
11339,2,0,0
11346,1,0,0
11348,1,0,0
11350,0,1,0
11352,0,0,1
11355,0,1,0
11366,0,1,0
11376,0,0,7
11377,4,0,0
11380,1,0,0
11381,2,0,0
11383,0,1,0
11385,2,0,0
11386,4,0,0
11391,1,0,0
11393,1,0,0
11397,4,0,0
11399,2,0,0
11401,6,0,0
11405,1,0,0
11406,2,0,0
11407,0,1,0
11414,1,0,0
11424,1,0,0
11426,2,0,0
11434,0,1,0
11435,0,1,0
11438,0,1,0
11442,1,0,0
11446,0,1,0
11454,4,0,1
11459,2,1,0
11461,0,1,0
11462,2,0,6
11465,0,0,10
11470,4,0,2
11472,0,0,1
11473,1,0,0
11474,4,0,16
11478,0,0,2
11479,0,0,7
11485,0,1,3
11487,1,0,0
11488,4,0,0
11489,0,0,4
11492,1,0,3
11495,0,1,0
11502,0,0,2
11503,0,0,2
11504,0,1,0
11506,0,1,0
11509,1,0,0
11510,0,0,1
11521,0,0,1
11522,0,0,4
11525,4,0,0
11526,0,0,4
11527,0,0,4
11532,1,0,0
11538,0,1,0
11539,5,0,0
11541,0,1,4
11542,0,0,4
11543,1,0,0
11547,1,1,4
11548,0,0,9
11549,0,0,2
11550,0,0,4
11551,4,0,4
11552,2,0,0
11554,4,0,0
11555,4,0,0
11556,2,0,0
11558,2,0,0
11560,2,0,4
11562,1,0,0
11564,0,1,0
11565,0,0,4
11566,1,0,0
11569,0,0,2
11570,0,1,0
11571,1,0,0
11575,0,0,2
11576,0,0,3
11578,0,1,0
11579,0,1,0
11582,0,0,2
11583,0,0,1
11586,1,0,2
11587,4,0,0
11590,0,0,2
11591,0,0,2
11592,1,1,0
11596,0,0,3
11600,4,0,0
11603,1,0,0
11608,1,0,0
11609,0,0,2
11612,3,0,4
11613,1,0,0
11615,2,0,0
11616,0,0,4
11617,2,0,0
11619,2,0,0
11622,1,0,0
11625,4,0,0
11629,1,0,0
11630,2,0,0
11633,2,1,0
11635,1,0,4
11636,1,0,0
11638,0,1,0
11640,0,0,4
11641,0,0,2
11642,0,1,0
11651,7,0,0
11655,2,0,0
11656,0,1,2
11659,0,0,2
11661,0,0,2
11663,0,1,2
11664,1,0,0
11665,0,1,2
11671,0,0,5
11675,0,0,2
11679,1,0,0
11683,1,0,3
11684,0,0,2
11686,4,0,0
11688,0,0,2
11689,0,0,2
11690,1,0,0
11692,0,0,9
11694,1,0,0
11697,1,0,0
11698,0,1,0
11702,2,1,0
11703,0,0,1
11706,0,1,0
11709,4,0,0
11710,0,0,4
11711,0,0,2
11712,1,0,2
11714,0,0,4
11716,6,0,0
11717,0,1,0
11718,0,1,0
11719,2,0,0
11723,0,0,2
11725,0,1,2
11726,1,0,2
11727,0,0,2
11729,1,0,4
11732,1,0,0
11734,0,1,0
11735,0,0,2
11736,0,0,8
11737,0,0,2
11738,2,0,4
11739,2,0,0
11740,0,0,8
11742,1,0,0
11746,0,0,4
11747,1,0,4
11750,0,0,4
11752,1,0,4
11753,0,0,4
11754,0,0,4
11755,0,0,4
11756,0,0,4
11757,0,0,8
11758,0,0,5
11759,0,0,4
11761,1,0,0
11763,0,0,1
11766,0,2,0
11767,1,0,4
11769,0,0,5
11770,1,0,0
11772,0,1,0
11777,0,0,4
11778,1,0,0
11779,1,1,0
11780,2,0,3
11781,0,1,0
11782,0,0,2
11785,8,0,0
11789,4,0,0
11790,1,0,5
11791,1,0,2
11792,0,1,3
11793,0,2,0
11797,5,0,0
11799,0,0,5
11802,1,0,0
11805,3,0,2
11806,4,0,0
11808,0,0,4
11810,2,0,0
11811,4,0,1
11812,4,0,0
11814,0,1,0
11815,4,0,1
11817,0,0,4
11822,0,0,4
11826,1,0,0
11827,0,2,0
11829,1,0,0
11836,0,0,1
11839,2,0,1
11841,2,0,0
11843,1,0,0
11847,0,0,2
11848,1,0,7
11849,0,0,2
11851,2,0,2
11856,0,1,0
11860,1,0,0
11863,3,0,2
11864,0,0,2
11866,0,1,8
11867,2,0,4
11868,4,0,0
11871,1,0,7
11872,0,1,2
11875,0,0,4
11876,2,0,0
11877,2,0,0
11878,1,1,0
11880,0,0,4
11881,0,0,6
11882,0,0,2
11883,4,0,2
11884,1,0,0
11887,0,0,2
11888,0,0,2
11889,0,0,6
11891,0,0,2
11893,0,0,2
11894,0,0,4
11895,0,0,6
11896,0,0,4
11900,0,0,8
11901,1,0,0
11903,4,1,0
11904,0,0,4
11905,0,0,2
11906,4,0,2
11908,3,0,0
11909,4,0,2
11910,0,0,10
11911,0,0,14
11912,2,0,0
11915,2,0,0
11917,2,0,0
11921,1,0,0
11923,0,0,4
11924,0,0,8
11925,1,0,0
11927,0,0,1
11930,1,1,13
11932,0,0,2
11933,4,0,9
11934,0,1,3
11936,0,0,4
11937,0,0,1
11939,1,1,0
11940,0,0,3
11941,0,0,1
11945,1,0,0
11946,0,1,0
11947,2,0,0
11950,0,0,1
11952,2,0,0
11954,0,0,1
11955,0,1,1
11959,4,0,0
11965,4,0,5
11966,0,0,1
11967,0,0,3
11972,4,0,0
11974,1,1,0
11975,1,0,0
11987,2,0,0
11989,3,0,0
11991,2,0,0
11992,2,0,0
11995,4,0,0
11996,1,0,0
11998,1,0,0
11999,2,0,0
12002,1,0,0
12003,1,0,2
12004,0,0,1
12005,2,0,0
12007,0,1,0
12008,2,0,0
12011,0,0,1
12012,2,0,0
12019,0,0,1
12020,0,1,0
12022,2,0,0
12024,2,0,0
12026,1,0,0
12030,2,0,0
12034,6,0,2
12035,3,1,0
12037,2,0,0
12039,3,1,1
12043,0,1,0
12044,2,0,0
12045,1,0,1
12046,3,0,0
12050,0,0,1
12051,0,1,0
12052,0,0,1
12055,4,0,0
12058,2,0,9
12061,1,0,0
12062,0,1,0
12067,1,0,0
12069,1,0,0
12077,0,0,2
12080,0,0,1
12081,0,0,1
12082,2,0,0
12084,2,0,0
12086,4,0,0
12087,0,1,0
12088,2,0,0
12089,0,0,1
12092,0,0,1
12093,0,0,3
12094,4,1,0
12100,0,0,1
12102,2,0,0
12103,0,0,1
12114,0,0,8
12117,1,1,0
12119,2,0,0
12120,1,0,0
12122,2,0,0
12123,2,0,0
12124,3,0,0
12127,0,0,3
12128,4,0,0
12129,0,0,5
12130,3,0,2
12132,2,0,0
12133,0,0,3
12134,1,1,0
12135,0,1,0
12137,3,1,1
12141,6,0,0
12142,1,0,0
12144,4,0,3
12155,4,0,0
12158,0,1,0
12161,1,0,0
12167,4,0,0
12172,0,0,1
12174,0,0,1
12179,1,1,0
12180,1,0,0
12181,1,0,0
12183,2,0,1
12191,2,0,0
12192,1,0,0
12196,0,0,1
12199,0,1,0
12200,1,0,1
12206,0,1,0
12208,4,0,1
12209,1,0,0
12210,1,0,0
12211,0,0,1
12216,2,0,0
12217,0,1,0
12218,2,0,0
12220,2,0,0
12222,1,0,0
12223,2,0,0
12228,0,0,1
12230,0,0,1
12234,0,0,1
12236,0,0,1
12237,0,1,0
12243,1,0,0
12246,4,0,0
12249,1,0,0
12250,1,0,0
12251,0,1,0
12253,1,0,0
12259,2,0,0
12261,2,0,0
12274,0,0,1
12275,0,1,0
12277,0,0,1
12280,0,0,1
12288,0,0,2
12290,0,1,0
12291,1,0,1
12294,0,0,1
12297,4,0,0
12298,2,0,0
12302,2,0,0
